Experiment,Algorithm,Metric,RawValues
key_exchange,RSA,cpu_ms_raw,33.933000000004654;31.092999999998483
key_exchange,RSA,latency_ms_raw,53.19416697602719;44.1219579661265
key_exchange,RSA,tx_bytes_raw,707;707
key_exchange,ECDH,cpu_ms_raw,0.23199999999690135;0.19599999998831663
key_exchange,ECDH,latency_ms_raw,0.19137503113597631;0.18987501971423626
key_exchange,ECDH,tx_bytes_raw,356;356
key_exchange,ML-KEM (KYBER),cpu_ms_raw,0.06299999999725969;0.04800000000670934
key_exchange,ML-KEM (KYBER),latency_ms_raw,0.04712503869086504;0.04650000482797623
key_exchange,ML-KEM (KYBER),tx_bytes_raw,1568;1568
key_exchange,HYBRID (ECC+KYBER),cpu_ms_raw,0.2750000000020236;0.24700000000166256
key_exchange,HYBRID (ECC+KYBER),latency_ms_raw,0.24275004398077726;0.24325004778802395
key_exchange,HYBRID (ECC+KYBER),tx_bytes_raw,1940;1940
signatures,ECDSA,sign_ms_raw,0.04283396992832422;0.019832979887723923
signatures,ECDSA,verify_ms_raw,0.08025008719414473;0.044874963350594044
